id,tweet,time,description
1223900198868357123,"RT @Earth_ToHeaven: #NoMeat_NoCoronaVirus
Eating meat is not a command of God and eating meat is a big sin. if we still do not follow the r…",2020-02-02 09:25:21,KARAMDASS
1223900008090484737,"RT @HoneyBread1997: Hi, it's 🍞I hope our united donation for Wuhan Coronavirus will help people here.
We donated 10000CNY to ""Han Hong Love…",2020-02-02 09:24:35,jaemin doyoung jaehyun jeno (윤오꺼) ฉันจะหาเงินเยอะๆแล้วเอาให้นายหมดเลย ***𝗇𝖼𝗍 최고다***
1223900027883544577,Interesting turn of events https://t.co/vvNYtFFYRz,2020-02-02 09:24:40,Climate change is our largest challenge. MegaTrends-Successfully predicted the timing of the Financial Collapse to the Democrats.Born in Canada
1223899068532850688,"RT @TarekFatah: Friends, this 'Doctor' is a physician, not some PhD with expertise in where to point when peeing. Despite being a 'doctor',…",2020-02-02 09:20:51,"Dharmo Rakshati Rakshitaha...🙏

Politically Right of Centre... but here to expand my worldview...👍

A RETWEET IS NOT AN ENDORSEMENT."
1223899997915271171,"RT @prayingmedic: Wei Sun held a secret-level security clearance and worked for Raytheon on missile programs used by the US military.
He wa…",2020-02-02 09:24:33,Surviving Spouse #22ADay #CombatPTSisReal #NonCombatPTSisReal #Veterans #Military #LEO #FirstResponders #Trump2020 #MAGA #KAG #1A #2A Proudly FB @GenFlynn
1223900053494026240,"RT @ISCResearch: #China: In the isolation ward of #Wuhan ☣ Hospital, the most uncomfortable moment for the patient was watching the patient…",2020-02-02 09:24:46,Bolton Wanderers fan. Worry for religious people.
1223899453423222787,"Because the WHO incorrectly lists Taiwan as part of China, Taiwan has to struggle to keep countries from banning fl… https://t.co/v7dz6CMHWG",2020-02-02 09:22:23,Feed Account for https://t.co/xQdgEnIgcN
1223899790825553926,RT @TrollFootball: How the Corona Virus started https://t.co/uGo4oJ73YM,2020-02-02 09:23:43,J U R N A L I S T I K ‘ 14 #MEMANUSIAKANMANUSIA
1223900035093532674,"RT @jagritysablok1: Prophet Muhammad (PBUH) Said:

""If you hear of an Outbreak of Plague in a land, Do Not Enter it; but if the Plague Brea…",2020-02-02 09:24:41,"Nomadic.., commercial engineering & project management professional, love poetry and Turkish food."
1223899211965485057,"RT @BBCBreaking: The Philippines says a man has died of the coronavirus, the first confirmed fatality outside China https://t.co/5SRepiGIQl",2020-02-02 09:21:25,"__ /) /)
( _= x =)
/ __LOVE"
1223900148666814464,"RT @hhunter0310: @ZubSpike @flyboy_1776 On June 19, 2015, the UK government-funded Pirbright Institute filed an application for a patent fo…",2020-02-02 09:25:09,"Retired https://t.co/LwXzIKGi9b Love God, family, country and POTUS"
1223899619395944448,@EmeraldValour @shoaib100mph Be happy ....think about ur student who stuck in China ..,2020-02-02 09:23:02,"Indian , free thinker , self employed,  🇮🇳, Gandhian 🇮🇳 ,... tweets and retweets are purely personal ....LAW Graduate from Mumbai University"
1223899105321201665,RT @JXEKER: eric ended coronavirus https://t.co/VvDgsJQwpH,2020-02-02 09:21:00,yeno the dance
